"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-02-01T14:45:00Z","tie","63857E","2602H","None","None","12","2602K","99928A","None","None","12"
"Qualifier #2","2020-02-01T14:48:30Z","blue","63857B","8568B","None","None","16","8884A","2602G","None","None","23"
"Qualifier #3","2020-02-01T14:52:00Z","red","8568X","8568E","None","None","20","785Z","8568D","None","None","13"
"Qualifier #4","2020-02-01T14:55:30Z","blue","2606A","2602M","None","None","2","8884B","977Z","None","None","33"
"Qualifier #5","2020-02-01T14:59:00Z","red","3379B","817F","None","None","8","8568H","2602F","None","None","6"
"Qualifier #6","2020-02-01T15:02:30Z","red","785B","2602D","None","None","19","2442E","16738A","None","None","3"
"Qualifier #7","2020-02-01T15:06:00Z","red","785E","2602B","None","None","12","2606C","5313C","None","None","9"
"Qualifier #8","2020-02-01T15:09:30Z","red","25600S","9421X","None","None","71","5313A","4898A","None","None","8"
"Qualifier #9","2020-02-01T15:13:00Z","blue","63857D","4898B","None","None","3","2602A","9421V","None","None","16"
"Qualifier #10","2020-02-01T15:16:30Z","blue","2442F","8568J","None","None","5","29718A","99928E","None","None","6"
"Qualifier #11","2020-02-01T15:20:00Z","red","25600H","99928D","None","None","8","2602C","99928B","None","None","4"
"Qualifier #12","2020-02-01T15:23:30Z","red","4344Y","63857A","None","None","100","2606B","4898C","None","None","15"
"Qualifier #13","2020-02-01T15:27:00Z","red","2442A","9421R","None","None","42","4344Z","99928C","None","None","1"
"Qualifier #14","2020-02-01T15:30:30Z","blue","8568A","5313B","None","None","1","8568G","8568C","None","None","9"
"Qualifier #15","2020-02-01T15:34:00Z","blue","2602E","16738B","None","None","9","25600X","76645A","None","None","29"
"Qualifier #16","2020-02-01T15:37:30Z","red","2606C","785Z","None","None","22","4898B","8568B","None","None","15"
"Qualifier #17","2020-02-01T15:41:00Z","blue","977Z","2602H","None","None","11","25600S","3379B","None","None","29"
"Qualifier #18","2020-02-01T15:44:30Z","red","4898A","785B","None","None","76","63857B","2602B","None","None","6"
"Qualifier #19","2020-02-01T15:48:00Z","tie","2606B","99928E","None","None","12","25600H","2602M","None","None","12"
"Qualifier #20","2020-02-01T15:51:30Z","red","63857E","63857D","None","None","26","8568J","4344Y","None","None","13"
"Qualifier #21","2020-02-01T15:55:00Z","blue","2602A","8884A","None","None","18","8568X","8568A","None","None","52"
"Qualifier #22","2020-02-01T15:58:30Z","blue","16738A","29718A","None","None","9","817F","2602G","None","None","18"
"Qualifier #23","2020-02-01T16:02:00Z","red","99928B","9421V","None","None","13","2602E","5313C","None","None","9"
"Qualifier #24","2020-02-01T16:05:30Z","red","8568D","4344Z","None","None","11","99928D","2442F","None","None","7"
"Qualifier #25","2020-02-01T16:09:00Z","blue","2602K","5313A","None","None","8","76645A","2442A","None","None","27"
"Qualifier #26","2020-02-01T16:12:30Z","red","8884B","2602C","None","None","18","99928C","4898C","None","None","9"
