"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-12-07T14:00:00Z","blue","2602D","2602A","None","None","24","1898S","2442B","None","None","39"
"Qualifier #2","2019-12-07T14:06:00Z","red","1898R","977Z","None","None","47","2602C","2442A","None","None","22"
"Qualifier #3","2019-12-07T14:12:00Z","red","2602K","2602B","None","None","19","2442F","3379A","None","None","13"
"Qualifier #4","2019-12-07T14:18:00Z","red","2602F","15797A","None","None","33","2442E","1898M","None","None","22"
"Qualifier #5","2019-12-07T14:24:00Z","red","2602H","1898A","None","None","62","2602G","2602M","None","None","4"
"Qualifier #6","2019-12-07T14:30:00Z","blue","2602E","2442E","None","None","15","2442B","2442F","None","None","16"
"Qualifier #7","2019-12-07T14:36:00Z","blue","15797A","2602A","None","None","17","2602K","1898A","None","None","21"
"Qualifier #8","2019-12-07T14:42:00Z","red","1898M","977Z","None","None","28","2602H","2602D","None","None","15"
"Qualifier #9","2019-12-07T14:48:00Z","blue","1898S","2602G","None","None","6","2602B","2602E","None","None","40"
"Qualifier #10","2019-12-07T14:54:00Z","blue","2442A","3379A","None","None","4","2602F","1898R","None","None","24"
"Qualifier #11","2019-12-07T15:00:00Z","blue","2602M","2602C","None","None","5","2602G","2442E","None","None","10"
"Qualifier #12","2019-12-07T15:06:00Z","red","1898R","2602H","None","None","35","2602K","2602E","None","None","31"
"Qualifier #13","2019-12-07T15:12:00Z","blue","1898M","3379A","None","None","2","2602A","2602M","None","None","31"
"Qualifier #14","2019-12-07T15:18:00Z","blue","1898S","2602C","None","None","4","1898A","2602F","None","None","38"
"Qualifier #15","2019-12-07T15:24:00Z","red","2602D","2442A","None","None","36","15797A","2602B","None","None","19"
"Qualifier #16","2019-12-07T15:30:00Z","red","2442B","2442F","None","None","39","977Z","2602C","None","None","10"
"Qualifier #17","2019-12-07T15:36:00Z","blue","2602B","2442E","None","None","12","1898R","2602A","None","None","69"
"Qualifier #18","2019-12-07T15:42:00Z","red","2602F","2442F","None","None","18","15797A","2602H","None","None","14"
"Qualifier #19","2019-12-07T15:48:00Z","red","2442B","2602G","None","None","21","2602D","3379A","None","None","12"
"Qualifier #20","2019-12-07T15:54:00Z","tie","2602K","2602M","None","None","18","1898S","977Z","None","None","18"
"Qualifier #21","2019-12-07T16:00:00Z","blue","1898A","2602E","None","None","26","1898M","2442A","None","None","29"
"Qualifier #22","2019-12-07T16:06:00Z","red","2602A","2442F","None","None","20","2602D","2602M","None","None","12"
"Qualifier #23","2019-12-07T16:12:00Z","red","2442A","2602K","None","None","47","2602H","2442E","None","None","15"
"Qualifier #24","2019-12-07T16:18:00Z","blue","2602B","2602G","None","None","9","2602F","977Z","None","None","30"
"Qualifier #25","2019-12-07T16:24:00Z","red","1898S","1898R","None","None","38","2442B","1898M","None","None","33"
"Qualifier #26","2019-12-07T16:30:00Z","blue","2602C","2602E","None","None","2","15797A","3379A","None","None","10"
"Qualifier #27","2019-12-07T16:36:00Z","blue","1898A","2602D","None","None","50","2442F","1898R","None","None","79"
"Qualifier #28","2019-12-07T16:42:00Z","blue","977Z","15797A","None","None","11","2602A","2602E","None","None","20"
"Qualifier #29","2019-12-07T16:48:00Z","red","1898M","2602K","None","None","14","2602G","2602C","None","None","9"
"Qualifier #30","2019-12-07T16:54:00Z","red","2602M","2442B","None","None","59","2442A","2602F","None","None","34"
"Qualifier #31","2019-12-07T17:00:00Z","blue","2602H","2442E","None","None","2","1898S","3379A","None","None","15"
"Qualifier #32","2019-12-07T17:06:00Z","red","2602B","1898A","None","None","26","2442B","1898M","None","None","24"
"R16 #2-1","N/A","blue","2602M","2602D","None","None","1","15797A","3379A","None","None","41"
"R16 #6-1","N/A","red","2602B","2602H","None","None","17","2602G","2602C","None","None","13"
"QF #1-1","N/A","red","1898R","1898A","None","None","42","15797A","3379A","None","None","14"
"QF #2-1","N/A","blue","2602K","2602E","None","None","28","2602A","2442A","None","None","40"
"QF #3-1","N/A","blue","2602F","1898S","None","None","0","2602B","2602H","None","None","11"
"QF #4-1","N/A","red","2442F","2442B","None","None","49","977Z","1898M","None","None","38"
"SF #1-1","N/A","red","1898R","1898A","None","None","63","2602A","2442A","None","None","14"
"SF #2-1","N/A","blue","2602B","2602H","None","None","12","2442F","2442B","None","None","26"
"Final #1-1","N/A","red","1898R","1898A","None","None","38","2442F","2442B","None","None","18"
