"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #57","2019-11-09T18:14:00Z","blue","3379A","4344X","None","None","9","2442A","9421X","None","None","17"
"Qualifier #58","2019-11-09T18:18:00Z","blue","63857D","785Z","None","None","12","375X","63857E","None","None","17"
"Qualifier #59","2019-11-09T18:22:00Z","red","4716A","1898R","None","None","19","9228C","2442E","None","None","9"
"Qualifier #60","2019-11-09T18:26:00Z","blue","2713A","9421R","None","None","13","64345A","9228B","None","None","15"
"Qualifier #61","2019-11-09T18:30:00Z","blue","785E","2602H","None","None","6","1898A","1127Z","None","None","38"
"Qualifier #62","2019-11-09T18:34:00Z","blue","1898M","785B","None","None","11","4344X","2442B","None","None","42"
"Qualifier #63","2019-11-09T18:38:00Z","blue","10102X","4716D","None","None","6","48425A","63857D","None","None","14"
"Qualifier #64","2019-11-09T18:42:00Z","blue","2713C","2442F","None","None","6","64345A","4716A","None","None","12"
"Qualifier #65","2019-11-09T18:46:00Z","blue","9228C","785E","None","None","11","375X","63857A","None","None","22"
"Qualifier #66","2019-11-09T18:50:00Z","blue","2713A","9421X","None","None","27","977Z","1898A","None","None","34"
"Qualifier #67","2019-11-09T18:54:00Z","red","1898R","785Z","None","None","47","1898M","9421R","None","None","19"
"Qualifier #68","2019-11-09T18:58:00Z","red","63857E","9228B","None","None","30","9421V","2442E","None","None","6"
"Qualifier #69","2019-11-09T19:02:00Z","blue","2602H","10102A","None","None","29","2442A","9228A","None","None","41"
"Qualifier #70","2019-11-09T19:06:00Z","tie","1127Z","785A","None","None","6","3379A","2713B","None","None","6"
"R16 #1-1","N/A","red","1898R","375X","None","None","22","9421V","2442F","None","None","1"
"R16 #2-1","N/A","red","2602H","1898M","None","None","6","3379A","785A","None","None","5"
"R16 #3-1","N/A","red","1898A","977Z","None","None","39","10102X","10102A","None","None","15"
"R16 #4-1","N/A","red","63857E","9421X","None","None","18","1127Z","64345A","None","None","6"
"R16 #5-1","N/A","red","2442B","2442A","None","None","29","4716D","2713A","None","None","3"
"R16 #6-1","N/A","red","48425A","4716A","None","None","33","785Z","785B","None","None","8"
"R16 #7-1","N/A","red","63857A","63857D","None","None","27","9228C","9228A","None","None","16"
"R16 #8-1","N/A","red","9228B","785E","None","None","32","4344X","9421R","None","None","18"
"QF #1-1","N/A","red","1898R","375X","None","None","55","2602H","1898M","None","None","24"
"QF #2-1","N/A","red","1898A","977Z","None","None","19","63857E","9421X","None","None","3"
"QF #3-1","N/A","red","2442B","2442A","None","None","54","48425A","4716A","None","None","18"
"QF #4-1","N/A","red","63857A","63857D","None","None","29","9228B","785E","None","None","24"
"SF #1-1","N/A","red","1898R","375X","None","None","28","1898A","977Z","None","None","20"
"SF #2-1","N/A","red","2442B","2442A","None","None","33","63857A","63857D","None","None","7"
"Final #1-1","N/A","red","1898R","375X","None","None","51","2442B","2442A","None","None","41"
