"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #57","2019-11-23T17:54:00Z","blue","9228B","1717K","None","None","10","99928B","63857D","None","None","27"
"Qualifier #58","2019-11-23T17:57:00Z","red","1784X","2602D","None","None","10","8568H","2602C","None","None","6"
"Qualifier #59","2019-11-23T18:00:00Z","blue","2602B","697X","None","None","6","8568A","9228C","None","None","27"
"Qualifier #60","2019-11-23T18:03:00Z","blue","4716D","2602K","None","None","15","2602G","1784Z","None","None","16"
"Qualifier #61","2019-11-23T18:06:00Z","red","63857A","8025A","None","None","38","8025B","1898R","None","None","15"
"Qualifier #62","2019-11-23T18:09:00Z","red","1717B","8568D","None","None","10","2602H","4478D","None","None","8"
"Qualifier #63","2019-11-23T18:12:00Z","blue","41364A","3379A","None","None","21","785E","2602A","None","None","23"
"Qualifier #64","2019-11-23T18:15:00Z","red","8568E","16738B","None","None","9","2602E","1784Y","None","None","3"
"Qualifier #65","2019-11-23T18:18:00Z","red","1784X","1898M","None","None","26","8568G","1717K","None","None","6"
"Qualifier #66","2019-11-23T18:21:00Z","blue","63857D","2602F","None","None","21","9228C","8568X","None","None","26"
"Qualifier #67","2019-11-23T18:24:00Z","red","99928C","1898A","None","None","23","63857E","4716D","None","None","11"
"Qualifier #68","2019-11-23T18:27:00Z","blue","5313B","8568F","None","None","6","5313A","8025A","None","None","9"
"Qualifier #69","2019-11-23T18:30:00Z","red","1784W","8568C","None","None","14","8568A","8568B","None","None","8"
"Qualifier #70","2019-11-23T18:33:00Z","blue","99928E","9228B","None","None","5","1717B","785B","None","None","39"
"Qualifier #71","2019-11-23T18:36:00Z","red","977Z","1898R","None","None","69","99928B","2602G","None","None","22"
"Qualifier #72","2019-11-23T18:39:00Z","red","1784Z","30906A","None","None","30","697D","697X","None","None","12"
"Qualifier #73","2019-11-23T18:42:00Z","red","2602H","99928D","None","None","15","2602K","8025C","None","None","9"
"Qualifier #74","2019-11-23T18:45:00Z","blue","99928A","2602B","None","None","7","2602M","2602D","None","None","13"
"Qualifier #75","2019-11-23T18:48:00Z","blue","4716A","8568H","None","None","8","9228A","785Z","None","None","13"
"Qualifier #76","2019-11-23T18:51:00Z","blue","8025B","785A","None","None","18","2602C","4478D","None","None","45"
"Qualifier #77","2019-11-23T18:54:00Z","blue","81118P","2621A","None","None","30","8568D","63857A","None","None","34"
"Qualifier #78","2019-11-23T18:57:00Z","blue","5313C","30906B","None","None","15","1898M","63857D","None","None","49"
"Qualifier #79","2019-11-23T19:00:00Z","red","99928E","9228C","None","None","20","8568E","30906A","None","None","4"
"Qualifier #80","2019-11-23T19:03:00Z","red","1898A","8025C","None","None","35","1784Y","41364A","None","None","23"
"Qualifier #81","2019-11-23T19:06:00Z","red","2602G","3379A","None","None","9","8568B","1717K","None","None","7"
"Qualifier #82","2019-11-23T19:09:00Z","red","1898R","2602M","None","None","30","16738B","2602K","None","None","9"
"Qualifier #83","2019-11-23T19:12:00Z","blue","8025A","8568X","None","None","15","99928C","785Z","None","None","18"
"Qualifier #84","2019-11-23T19:15:00Z","red","63857A","697D","None","None","35","99928A","977Z","None","None","14"
"Qualifier #85","2019-11-23T19:18:00Z","red","4716D","785E","None","None","16","2602C","8568A","None","None","6"
"Qualifier #86","2019-11-23T19:21:00Z","blue","4716A","5313B","None","None","18","9228B","5313C","None","None","45"
"Qualifier #87","2019-11-23T19:24:00Z","blue","8568C","785B","None","None","11","1784Z","30906B","None","None","13"
"Qualifier #88","2019-11-23T19:27:00Z","red","697X","4478D","None","None","22","5313A","99928D","None","None","5"
"Qualifier #89","2019-11-23T19:30:00Z","blue","8025B","8568D","None","None","20","2602B","8568H","None","None","22"
