"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #57","2019-12-07T16:24:40Z","red","195A","4478B","None","None","18","902B","1697B","None","None","9"
"Qualifier #58","2019-12-07T16:27:15Z","blue","39545A","8079R","None","None","3","1695A","4478R","None","None","9"
"Qualifier #59","2019-12-07T16:29:50Z","blue","8878B","5150H","None","None","0","4478F","877H","None","None","9"
"Qualifier #60","2019-12-07T16:32:25Z","blue","18891A","17814A","None","None","7","1618A","5150F","None","None","15"
"Qualifier #61","2019-12-07T16:35:00Z","tie","195C","877Z","None","None","17","8079M","195E","None","None","17"
"Qualifier #62","2019-12-07T16:37:35Z","red","17814V","877J","None","None","16","18891B","4478C","None","None","12"
"Qualifier #63","2019-12-07T16:40:10Z","red","5150D","3157A","None","None","22","12345A","39545B","None","None","1"
"Qualifier #64","2019-12-07T16:42:45Z","red","5150J","17814E","None","None","30","9909B","17814X","None","None","27"
"Qualifier #65","2019-12-07T16:45:20Z","blue","4478A","17814F","None","None","9","902D","41364A","None","None","18"
"Qualifier #66","2019-12-07T16:47:55Z","red","17814Y","9909C","None","None","12","8079C","8878F","None","None","8"
"Qualifier #67","2019-12-07T16:50:30Z","blue","17814B","8878E","None","None","3","50239A","8878G","None","None","10"
"Qualifier #68","2019-12-07T16:53:05Z","blue","8079A","1188B","None","None","4","1695C","9909F","None","None","13"
"Qualifier #69","2019-12-07T16:55:40Z","blue","162A","17814W","None","None","24","4478V","3157N","None","None","25"
"Qualifier #70","2019-12-07T16:58:15Z","blue","8878A","5150K","None","None","9","195A","17814D","None","None","12"
"Qualifier #71","2019-12-07T17:00:50Z","red","1695B","50239B","None","None","13","9909A","1697A","None","None","3"
"Qualifier #72","2019-12-07T17:03:25Z","blue","1695D","195B","None","None","9","4478D","17814C","None","None","38"
"Qualifier #73","2019-12-07T17:06:00Z","blue","1188A","902X","None","None","10","902E","902C","None","None","16"
