"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-12-21T14:30:00Z","blue","4344Z","549C","None","None","4","2442A","4344Y","None","None","22"
"Qualifier #2","2019-12-21T14:33:30Z","red","55550X","41364A","None","None","18","75735C","49585B","None","None","0"
"Qualifier #3","2019-12-21T14:37:00Z","red","9421X","2442F","None","None","57","2606A","9421V","None","None","21"
"Qualifier #4","2019-12-21T14:40:30Z","red","785Z","1618A","None","None","10","58566C","785B","None","None","5"
"Qualifier #5","2019-12-21T14:44:00Z","blue","6181A","9421R","None","None","8","63857D","785E","None","None","17"
"Qualifier #6","2019-12-21T14:47:30Z","red","785A","99928D","None","None","10","85127A","10102X","None","None","4"
"Qualifier #7","2019-12-21T14:51:00Z","blue","375X","10102Z","None","None","20","63857A","58566B","None","None","48"
"Qualifier #8","2019-12-21T14:54:30Z","red","1615A","81118P","None","None","29","10900Z","75735A","None","None","9"
"Qualifier #9","2019-12-21T14:58:00Z","red","2442E","2602A","None","None","36","2442B","25600H","None","None","34"
"Qualifier #10","2019-12-21T15:01:30Z","red","977Z","10102A","None","None","33","75735B","3379A","None","None","6"
"Qualifier #11","2019-12-21T15:05:00Z","red","99928A","99928E","None","None","9","817F","99928B","None","None","8"
"Qualifier #12","2019-12-21T15:08:30Z","blue","2606C","817B","None","None","4","2606B","6181B","None","None","6"
"Qualifier #13","2019-12-21T15:12:00Z","red","55550W","99928C","None","None","6","549V","6181C","None","None","3"
"Qualifier #14","2019-12-21T15:15:30Z","blue","58566A","75735A","None","None","8","41364A","9421R","None","None","16"
"Qualifier #15","2019-12-21T15:19:00Z","red","10102X","2442A","None","None","45","55550X","6181A","None","None","6"
"Qualifier #16","2019-12-21T15:22:30Z","red","75735B","785E","None","None","12","75735C","9421V","None","None","4"
"Qualifier #17","2019-12-21T15:26:00Z","blue","785A","25600H","None","None","12","9421X","1618A","None","None","38"
"Qualifier #18","2019-12-21T15:29:30Z","blue","99928E","10900Z","None","None","10","375X","4344Z","None","None","42"
"Qualifier #19","2019-12-21T15:33:00Z","blue","6181C","99928B","None","None","0","785B","2606A","None","None","15"
"Qualifier #20","2019-12-21T15:36:30Z","red","63857A","85127A","None","None","58","58566A","2442E","None","None","6"
"Qualifier #21","2019-12-21T15:40:00Z","blue","58566C","10102A","None","None","3","81118P","2606C","None","None","15"
"Qualifier #22","2019-12-21T15:43:30Z","red","49585B","817F","None","None","22","99928D","10102Z","None","None","13"
"Qualifier #23","2019-12-21T15:47:00Z","red","63857D","2442B","None","None","53","817B","1615A","None","None","10"
"Qualifier #24","2019-12-21T15:50:30Z","tie","2606B","549V","None","None","27","549C","785Z","None","None","27"
"Qualifier #25","2019-12-21T15:54:00Z","red","4344Y","3379A","None","None","8","99928A","99928C","None","None","0"
"Qualifier #26","2019-12-21T15:57:30Z","blue","55550W","58566B","None","None","2","2442F","977Z","None","None","17"
"Qualifier #27","2019-12-21T16:01:00Z","red","2602A","6181B","None","None","8","785A","63857A","None","None","5"
"Qualifier #28","2019-12-21T16:04:30Z","red","10900Z","10102X","None","None","26","10102A","41364A","None","None","22"
"Qualifier #29","2019-12-21T16:08:00Z","blue","6181C","9421R","None","None","6","99928E","25600H","None","None","13"
"Qualifier #30","2019-12-21T16:11:30Z","red","375X","58566A","None","None","55","817B","2442A","None","None","37"
"Qualifier #31","2019-12-21T16:15:00Z","red","9421V","785B","None","None","20","99928A","6181A","None","None","5"
"Qualifier #32","2019-12-21T16:18:30Z","blue","4344Z","58566C","None","None","6","55550W","10102Z","None","None","16"
"Qualifier #33","2019-12-21T16:22:00Z","blue","49585B","2606A","None","None","13","785E","549C","None","None","22"
"Qualifier #34","2019-12-21T16:25:30Z","blue","75735B","6181B","None","None","3","75735A","85127A","None","None","15"
"Qualifier #35","2019-12-21T16:29:00Z","red","2606C","785Z","None","None","24","4344Y","99928B","None","None","10"
"Qualifier #36","2019-12-21T16:32:30Z","blue","2606B","63857D","None","None","6","2442E","9421X","None","None","35"
"Qualifier #37","2019-12-21T16:36:00Z","blue","55550X","58566B","None","None","1","817F","1618A","None","None","20"
"Qualifier #38","2019-12-21T16:39:30Z","blue","99928D","99928C","None","None","12","2602A","1615A","None","None","34"
"Qualifier #39","2019-12-21T16:43:00Z","red","2442F","2442B","None","None","26","3379A","549V","None","None","8"
"Qualifier #40","2019-12-21T16:46:30Z","blue","81118P","75735C","None","None","10","977Z","4344Z","None","None","18"
"Qualifier #41","2019-12-21T16:50:00Z","blue","549C","817B","None","None","10","10900Z","63857A","None","None","30"
"Qualifier #42","2019-12-21T16:53:30Z","red","9421X","41364A","None","None","30","58566C","75735B","None","None","18"
"Qualifier #43","2019-12-21T16:57:00Z","blue","99928A","58566B","None","None","3","785A","6181C","None","None","18"
"Qualifier #44","2019-12-21T17:00:30Z","blue","9421V","75735A","None","None","9","375X","55550X","None","None","38"
"Qualifier #45","2019-12-21T17:04:00Z","blue","99928B","2606B","None","None","8","2442B","9421R","None","None","24"
"Qualifier #46","2019-12-21T17:07:30Z","blue","785E","3379A","None","None","10","2602A","1618A","None","None","13"
"Qualifier #47","2019-12-21T17:11:00Z","red","2442A","2442E","None","None","15","99928D","55550W","None","None","4"
"Qualifier #48","2019-12-21T17:14:30Z","blue","85127A","4344Y","None","None","10","63857D","81118P","None","None","19"
"Qualifier #49","2019-12-21T17:18:00Z","tie","6181A","977Z","None","None","13","49585B","1615A","None","None","13"
"Qualifier #50","2019-12-21T17:21:30Z","blue","2606A","6181B","None","None","16","785Z","10102X","None","None","35"
"Qualifier #51","2019-12-21T17:25:00Z","red","75735C","817F","None","None","12","2606C","25600H","None","None","11"
"Qualifier #52","2019-12-21T17:28:30Z","red","785B","549V","None","None","23","10102A","58566A","None","None","19"
"Qualifier #53","2019-12-21T17:32:00Z","blue","10102Z","99928C","None","None","3","2442F","99928E","None","None","8"
"Qualifier #54","2019-12-21T17:35:30Z","red","2602A","9421V","None","None","41","2606B","4344Z","None","None","11"
"Qualifier #55","2019-12-21T17:39:00Z","blue","99928B","3379A","None","None","8","785A","549C","None","None","16"
"Qualifier #56","2019-12-21T17:42:30Z","blue","977Z","99928A","None","None","23","9421R","6181B","None","None","24"
"Qualifier #57","2019-12-21T17:46:00Z","red","2606A","375X","None","None","29","58566C","2442B","None","None","25"
"Qualifier #58","2019-12-21T17:49:30Z","blue","1618A","817B","None","None","22","41364A","6181C","None","None","33"
"Qualifier #59","2019-12-21T17:53:00Z","red","10102Z","2442A","None","None","36","785B","75735A","None","None","4"
"Qualifier #60","2019-12-21T17:56:30Z","red","25600H","4344Y","None","None","12","58566A","6181A","None","None","2"
"Qualifier #61","2019-12-21T18:00:00Z","blue","1615A","2442E","None","None","12","549V","10102X","None","None","17"
"Qualifier #62","2019-12-21T18:03:30Z","blue","9421X","99928D","None","None","12","58566B","81118P","None","None","23"
"Qualifier #63","2019-12-21T18:07:00Z","red","63857A","75735C","None","None","45","785Z","99928E","None","None","11"
"Qualifier #64","2019-12-21T18:10:30Z","blue","49585B","85127A","None","None","11","2442F","10102A","None","None","12"
"Qualifier #65","2019-12-21T18:14:00Z","blue","2606C","10900Z","None","None","5","785E","99928C","None","None","9"
"Qualifier #66","2019-12-21T18:17:30Z","blue","817F","75735B","None","None","7","63857D","55550W","None","None","50"
"Qualifier #67","2019-12-21T18:21:00Z","blue","55550X","10102Z","None","None","2","99928A","2602A","None","None","27"
