"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #83","2020-01-11T17:26:20Z","blue","4478B","17814V","None","None","1","4478F","1695D","None","None","20"
"Qualifier #84","2020-01-11T17:28:40Z","red","8079M","7263A","None","None","12","8878C","17814W","None","None","11"
"Qualifier #85","2020-01-11T17:31:00Z","red","877J","13085B","None","None","21","1697B","9909F","None","None","12"
"Qualifier #86","2020-01-11T17:33:20Z","red","8878F","1697A","None","None","23","5150F","1930C","None","None","10"
"Qualifier #87","2020-01-11T17:35:40Z","red","4478Z","8079R","None","None","21","1618A","4478C","None","None","18"
"Qualifier #88","2020-01-11T17:38:00Z","red","50239B","228A","None","None","15","8370A","5319A","None","None","3"
"Qualifier #89","2020-01-11T17:40:20Z","blue","877H","9909C","None","None","9","9909B","162A","None","None","35"
"Qualifier #90","2020-01-11T17:42:40Z","tie","41364A","8878B","None","None","0","1695C","877Z","None","None","0"
"Qualifier #91","2020-01-11T17:45:00Z","tie","5150D","1930E","None","None","0","4478B","39545A","None","None","0"
"Qualifier #92","2020-01-11T17:47:20Z","tie","228B","8878G","None","None","0","8079M","1695A","None","None","0"
"Qualifier #93","2020-01-11T17:49:40Z","tie","4478D","9909F","None","None","0","9909A","7263A","None","None","0"
"Qualifier #94","2020-01-11T17:52:00Z","tie","1930C","4478R","None","None","0","8878E","8884A","None","None","0"
"Qualifier #95","2020-01-11T17:54:20Z","tie","1188A","4478A","None","None","0","1930B","13085B","None","None","0"
"Qualifier #96","2020-01-11T17:56:40Z","tie","18891A","8370A","None","None","0","17814V","4478V","None","None","0"
"Qualifier #97","2020-01-11T17:59:00Z","tie","228A","17814Z","None","None","0","9909B","1188B","None","None","0"
"Qualifier #98","2020-01-11T18:01:20Z","tie","5150E","17814W","None","None","0","12345A","8079A","None","None","0"
"Qualifier #99","2020-01-11T18:03:40Z","tie","8884B","5319B","None","None","0","17814X","375X","None","None","0"
"Qualifier #100","2020-01-11T18:06:00Z","tie","8079C","14000C","None","None","0","1695E","8878A","None","None","0"
"Qualifier #101","2020-01-11T18:08:20Z","tie","5150H","4478C","None","None","0","50239B","9909D","None","None","0"
"Qualifier #102","2020-01-11T18:10:40Z","tie","8878D","5150J","None","None","0","5150K","1697B","None","None","0"
"Qualifier #103","2020-01-11T18:13:00Z","tie","1618A","8878C","None","None","0","8878F","50239A","None","None","0"
"Qualifier #104","2020-01-11T18:15:20Z","tie","1695B","4478Z","None","None","0","5150G","9909C","None","None","0"
"Qualifier #105","2020-01-11T18:17:40Z","tie","5150F","877H","None","None","0","13085A","3157A","None","None","0"
"Qualifier #106","2020-01-11T18:20:00Z","tie","8079R","1695D","None","None","0","1697A","877J","None","None","0"
"Qualifier #107","2020-01-11T18:22:20Z","tie","5319A","12345A","None","None","0","4478A","4478F","None","None","0"
"R16 #1-1","N/A","red","41364A","375X","None","None","33","4478C","9909B","None","None","10"
"R16 #2-1","N/A","blue","5150G","4478F","None","None","12","4478R","5150J","None","None","70"
"R16 #3-1","N/A","red","8878F","8878A","None","None","9","9909A","5150D","None","None","7"
"R16 #4-1","N/A","red","5150H","8878B","None","None","23","8079M","8079A","None","None","14"
"R16 #5-1","N/A","red","1697A","5150E","None","None","46","1188A","8884A","None","None","15"
"R16 #6-1","N/A","tie","13085A","13085B","None","None","27","50239A","5150K","None","None","27"
"R16 #7-1","N/A","red","4478V","4478D","None","None","25","50239B","9909F","None","None","17"
"R16 #8-1","N/A","blue","8878E","4478B","None","None","1","8079C","17814Z","None","None","19"
"R16 #6-2","N/A","red","13085A","13085B","None","None","23","50239A","5150K","None","None","13"
"QF #1-1","N/A","red","41364A","375X","None","None","40","4478R","5150J","None","None","32"
"QF #2-1","N/A","blue","8878F","8878A","None","None","2","5150H","8878B","None","None","18"
"QF #3-1","N/A","red","1697A","5150E","None","None","46","13085A","13085B","None","None","22"
"QF #4-1","N/A","red","4478V","4478D","None","None","52","8079C","17814Z","None","None","17"
"SF #1-1","N/A","red","41364A","375X","None","None","39","5150H","8878B","None","None","24"
"SF #2-1","N/A","blue","1697A","5150E","None","None","43","4478V","4478D","None","None","53"
"Final #1-1","N/A","blue","41364A","375X","None","None","5","4478V","4478D","None","None","45"
