"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #164","2020-01-18T15:27:00Z","blue","5150J","9909A","None","None","27","404S","2442B","None","None","33"
"Qualifier #165","2020-01-18T15:30:30Z","blue","25600X","169X","None","None","9","4478V","63857A","None","None","26"
"Qualifier #166","2020-01-18T15:34:00Z","red","785E","1898A","None","None","23","6277B","9909B","None","None","10"
"Qualifier #167","2020-01-18T15:37:30Z","blue","1717B","4344X","None","None","22","285Z","1353P","None","None","44"
"Qualifier #168","2020-01-18T15:41:00Z","blue","134M","785A","None","None","16","369A","10102A","None","None","60"
"Qualifier #169","2020-01-18T15:44:30Z","red","9909D","1898M","None","None","12","1082B","169Z","None","None","9"
"Qualifier #170","2020-01-18T15:48:00Z","red","9909F","7121D","None","None","28","25461Z","2442E","None","None","18"
"Qualifier #171","2020-01-18T15:51:30Z","blue","2442A","4478Z","None","None","10","2142E","169Y","None","None","14"
"Qualifier #172","2020-01-18T15:55:00Z","blue","25600H","404Y","None","None","16","11442X","1898R","None","None","34"
"Qualifier #173","2020-01-18T15:58:30Z","tie","134J","4180B","None","None","17","62G","41364A","None","None","17"
"Qualifier #174","2020-01-18T16:02:00Z","blue","4180A","2442F","None","None","4","40B","3303D","None","None","25"
"Qualifier #175","2020-01-18T16:05:30Z","red","375X","134Z","None","None","28","7121E","25600S","None","None","13"
"Qualifier #176","2020-01-18T16:09:00Z","red","977Z","2602G","None","None","20","62B","11442Z","None","None","10"
"Qualifier #177","2020-01-18T16:12:30Z","blue","4478R","242B","None","None","20","63857D","9909C","None","None","22"
"Qualifier #178","2020-01-18T16:16:00Z","blue","62X","10102X","None","None","10","3303X","2602A","None","None","17"
"Qualifier #179","2020-01-18T16:19:30Z","blue","785Z","2602H","None","None","16","785B","62A","None","None","59"
"Qualifier #180","2020-01-18T16:23:00Z","red","169A","404X","None","None","40","5156A","134C","None","None","30"
"Qualifier #181","2020-01-18T16:26:30Z","red","242Y","6277B","None","None","35","2616Z","25600X","None","None","32"
"Qualifier #182","2020-01-18T16:30:00Z","red","4478V","404S","None","None","50","404Y","134D","None","None","13"
"Qualifier #183","2020-01-18T16:33:30Z","red","1898R","169Y","None","None","57","169X","62K","None","None","3"
"Qualifier #184","2020-01-18T16:37:00Z","blue","25461Z","1717B","None","None","25","4478Z","2442F","None","None","30"
"Qualifier #185","2020-01-18T16:40:30Z","red","25600S","369A","None","None","40","285Z","62G","None","None","24"
"Qualifier #186","2020-01-18T16:44:00Z","red","4344X","1898M","None","None","17","785A","62B","None","None","2"
"Qualifier #187","2020-01-18T16:47:30Z","blue","41364A","1353X","None","None","25","1898A","25600H","None","None","34"
"Qualifier #188","2020-01-18T16:51:00Z","red","62X","1082B","None","None","35","2142D","375X","None","None","33"
"Qualifier #189","2020-01-18T16:54:30Z","red","134J","134M","None","None","44","242B","10102Z","None","None","18"
"Qualifier #190","2020-01-18T16:58:00Z","red","11442X","169Z","None","None","35","169A","4478F","None","None","15"
"Qualifier #191","2020-01-18T17:01:30Z","blue","2602G","785B","None","None","9","5156A","2442A","None","None","22"
"Qualifier #192","2020-01-18T17:05:00Z","red","63857A","169E","None","None","61","10102X","4180A","None","None","26"
"Qualifier #193","2020-01-18T17:08:30Z","red","3303X","3303D","None","None","42","2381Z","7121D","None","None","0"
"Qualifier #194","2020-01-18T17:12:00Z","blue","2442B","977Z","None","None","6","7121E","404X","None","None","23"
"Qualifier #195","2020-01-18T17:15:30Z","blue","2602A","63857D","None","None","8","9421X","4478D","None","None","12"
"Qualifier #196","2020-01-18T17:19:00Z","blue","10102A","11442Z","None","None","8","2602H","134Z","None","None","31"
"Qualifier #197","2020-01-18T17:22:30Z","red","134C","1353P","None","None","17","785E","4478R","None","None","12"
"Qualifier #198","2020-01-18T17:26:00Z","red","5150J","9909B","None","None","30","2442E","785Z","None","None","12"
"Qualifier #199","2020-01-18T17:29:30Z","blue","62A","9909D","None","None","37","2142E","4180B","None","None","42"
"Qualifier #200","2020-01-18T17:33:00Z","red","40B","9909F","None","None","57","9909C","9909A","None","None","36"
"R16 #1-1","N/A","blue","369A","25461Z","None","None","23","2142E","7121E","None","None","57"
"R16 #2-1","N/A","red","2442B","169Z","None","None","38","977Z","41364A","None","None","29"
"R16 #3-1","N/A","red","3303D","1898R","None","None","42","62X","62A","None","None","35"
"R16 #4-1","N/A","red","134J","40B","None","None","31","3303X","2616Z","None","None","22"
"R16 #5-1","N/A","red","2602A","2442A","None","None","28","4478Z","4478R","None","None","25"
"R16 #6-1","N/A","tie","9421X","375X","None","None","26","134Z","134C","None","None","26"
"R16 #7-1","N/A","red","169Y","169E","None","None","31","1898A","5150J","None","None","13"
"R16 #8-1","N/A","red","4478V","169A","None","None","68","63857A","4478D","None","None","64"
"R16 #6-2","N/A","red","9421X","375X","None","None","24","134Z","134C","None","None","22"
"QF #1-1","N/A","red","2142E","7121E","None","None","55","2442B","169Z","None","None","22"
"QF #2-1","N/A","blue","3303D","1898R","None","None","26","134J","40B","None","None","55"
"QF #3-1","N/A","blue","2602A","2442A","None","None","27","9421X","375X","None","None","37"
"QF #4-1","N/A","red","169Y","169E","None","None","47","4478V","169A","None","None","28"
"SF #1-1","N/A","red","2142E","7121E","None","None","36","134J","40B","None","None","23"
"SF #2-1","N/A","blue","9421X","375X","None","None","16","169Y","169E","None","None","27"
"Final #1-1","N/A","blue","2142E","7121E","None","None","45","169Y","169E","None","None","52"
"Final #1-2","N/A","blue","2142E","7121E","None","None","46","169Y","169E","None","None","54"
