"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #2","2020-01-25T14:53:30Z","red","9228E","8568X","None","None","33","8568G","8568A","None","None","0"
"Qualifier #3","2020-01-25T14:57:00Z","red","785B","785Z","None","None","54","5313C","10102X","None","None","50"
"Qualifier #4","2020-01-25T15:00:30Z","red","4898B","30906B","None","None","14","15797A","697C","None","None","2"
"Qualifier #5","2020-01-25T15:04:00Z","blue","16738A","8568B","None","None","7","41364A","496P","None","None","22"
"Qualifier #6","2020-01-25T15:07:30Z","red","496W","977Z","None","None","24","55156A","58566A","None","None","3"
"Qualifier #7","2020-01-25T15:11:00Z","tie","5313A","496H","None","None","7","697D","8568E","None","None","7"
"Qualifier #8","2020-01-25T15:14:30Z","red","25600X","4716B","None","None","46","58566C","58566B","None","None","5"
"Qualifier #9","2020-01-25T15:18:00Z","tie","42367A","8568J","None","None","7","97512A","8568D","None","None","7"
"Qualifier #10","2020-01-25T15:21:30Z","red","4898C","9228C","None","None","21","8568H","4522A","None","None","4"
"Qualifier #11","2020-01-25T15:25:00Z","red","3379A","2602A","None","None","11","8568C","9228A","None","None","5"
"Qualifier #12","2020-01-25T15:28:30Z","blue","697X","2621A","None","None","4","4716A","785A","None","None","5"
"Qualifier #13","2020-01-25T15:32:00Z","red","25600H","81118P","None","None","41","9228D","2621B","None","None","2"
"Qualifier #14","2020-01-25T15:35:30Z","red","25600Y","16738B","None","None","7","5313B","9228B","None","None","6"
"Qualifier #15","2020-01-25T15:39:00Z","red","8568G","15797A","None","None","18","16738A","496H","None","None","7"
"Qualifier #16","2020-01-25T15:42:30Z","red","785Z","977Z","None","None","33","4716B","8568B","None","None","16"
"Qualifier #17","2020-01-25T15:46:00Z","blue","30906A","4522A","None","None","24","785B","8568X","None","None","53"
"Qualifier #18","2020-01-25T15:49:30Z","blue","8568A","5313C","None","None","6","9228C","55156A","None","None","21"
"Qualifier #19","2020-01-25T15:53:00Z","red","4716A","785E","None","None","28","496W","5313A","None","None","6"
"Qualifier #20","2020-01-25T15:56:30Z","blue","496P","8568C","None","None","2","81118P","697X","None","None","48"
"Qualifier #21","2020-01-25T16:00:00Z","blue","697C","58566B","None","None","2","697D","9228A","None","None","12"
"Qualifier #22","2020-01-25T16:03:30Z","red","58566C","41364A","None","None","37","25600Y","2621A","None","None","7"
"Qualifier #23","2020-01-25T16:07:00Z","red","4898A","10102X","None","None","30","4898B","8568J","None","None","6"
"Qualifier #24","2020-01-25T16:10:30Z","blue","97512A","9228D","None","None","7","25600X","16738B","None","None","19"
"Qualifier #25","2020-01-25T16:14:00Z","blue","8568E","785A","None","None","5","2602A","8568D","None","None","12"
"Qualifier #26","2020-01-25T16:17:30Z","red","25600S","8568H","None","None","42","9228E","3379A","None","None","4"
"Qualifier #27","2020-01-25T16:21:00Z","blue","9228B","58566A","None","None","16","25600H","4898C","None","None","19"
"Qualifier #28","2020-01-25T16:24:30Z","tie","2621B","5313B","None","None","8","30906B","42367A","None","None","8"
"Qualifier #29","2020-01-25T16:28:00Z","blue","697C","30906A","None","None","9","8568A","4716A","None","None","15"
"Qualifier #30","2020-01-25T16:31:30Z","blue","4898B","697X","None","None","11","5313C","16738A","None","None","13"
"Qualifier #31","2020-01-25T16:35:00Z","blue","496H","97512A","None","None","8","9228C","58566C","None","None","16"
