"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-01-04T14:30:00Z","red","25600X","81118P","None","None","52","817B","817F","None","None","14"
"Qualifier #2","2020-01-04T14:34:00Z","blue","4716C","46024E","None","None","1","8884B","2606B","None","None","9"
"Qualifier #3","2020-01-04T14:38:00Z","red","5313C","99928E","None","None","20","2606C","4344X","None","None","18"
"Qualifier #4","2020-01-04T14:42:00Z","blue","5313A","5313B","None","None","3","4716A","10102X","None","None","18"
"Qualifier #5","2020-01-04T14:46:00Z","blue","85127A","99928D","None","None","10","25600S","375X","None","None","50"
"Qualifier #6","2020-01-04T14:50:00Z","blue","55550W","9421V","None","None","6","4344Z","2079A","None","None","7"
"Qualifier #7","2020-01-04T14:54:00Z","blue","2079B","1615A","None","None","6","9421R","10900Z","None","None","13"
"Qualifier #8","2020-01-04T14:58:00Z","blue","99928B","1618A","None","None","5","2606A","3379A","None","None","10"
"Qualifier #9","2020-01-04T15:02:00Z","blue","4716B","8828A","None","None","2","8884A","55550X","None","None","24"
"Qualifier #10","2020-01-04T15:06:00Z","blue","4344Y","99928C","None","None","2","977Z","5313C","None","None","26"
"Qualifier #11","2020-01-04T15:10:00Z","blue","2079A","817B","None","None","5","46024E","2079B","None","None","10"
"Qualifier #12","2020-01-04T15:14:00Z","red","2606B","4344X","None","None","10","99928B","10900Z","None","None","3"
"Qualifier #13","2020-01-04T15:18:00Z","red","85127A","817F","None","None","15","99928E","4716B","None","None","7"
"Qualifier #14","2020-01-04T15:22:00Z","red","4716A","8884A","None","None","7","25600X","1615A","None","None","5"
"Qualifier #15","2020-01-04T15:26:00Z","blue","4344Z","55550X","None","None","8","4716C","25600S","None","None","17"
"Qualifier #16","2020-01-04T15:30:00Z","red","3379A","81118P","None","None","32","5313B","99928D","None","None","3"
"Qualifier #17","2020-01-04T15:34:00Z","red","375X","4344Y","None","None","28","55550W","1618A","None","None","8"
"Qualifier #18","2020-01-04T15:38:00Z","red","8884B","10102X","None","None","17","2606C","8828A","None","None","7"
"Qualifier #19","2020-01-04T15:42:00Z","tie","2606A","977Z","None","None","8","5313A","9421V","None","None","8"
"Qualifier #20","2020-01-04T15:46:00Z","blue","99928C","9421R","None","None","11","55550X","4716A","None","None","12"
"Qualifier #21","2020-01-04T15:50:00Z","red","5313C","25600X","None","None","22","85127A","2079B","None","None","12"
"Qualifier #22","2020-01-04T15:54:00Z","red","1618A","2606C","None","None","11","817B","4716B","None","None","3"
"Qualifier #23","2020-01-04T15:58:00Z","blue","977Z","8884B","None","None","6","99928E","99928B","None","None","8"
"Qualifier #24","2020-01-04T16:02:00Z","tie","5313A","4344Z","None","None","12","9421R","2606B","None","None","12"
